Gene_Symbol	Selected_Probe_ID	GSM249671	GSM249672	GSM249673	GSM249674	GSM249675	GSM249676	GSM249677	GSM249678	GSM249679	GSM249680
C3orf36	221175_at	2.763960915	3.296570965	2.467706164	3.002621888	2.260605365	2.581802963	2.75117847	2.763694383	2.938436991	2.827799856
C3orf38	226524_at	8.684527949	8.057190428	8.645021571	8.8049129	8.48758072	7.87455228	8.210038908	8.553626529	7.776843187	7.824030045
C3orf43	1559429_a_at	3.483235648	3.175912505	3.10940275	3.572777762	3.522170486	2.977427298	3.132665035	2.837299798	3.333502863	3.261228141
C3orf49	1553805_at	3.919700309	3.388046794	3.034952799	3.263924459	3.026879785	3.234999296	3.018676915	3.303761219	3.056923906	2.889784112
C3orf52	219474_at	4.560305628	4.308751506	4.149044982	3.623699711	3.759608936	3.398688872	4.337973974	4.397280481	4.103041239	3.451131719
C3orf55	238969_at	4.482606396	4.817108613	6.635928812	5.491936855	4.880061121	4.543251022	5.752567056	4.776801425	2.419175008	3.26588702
C3orf56	1562762_at	1.941530672	1.589294858	1.975783872	1.557101733	1.356956555	1.803885338	1.367384757	1.70900644	1.984615734	1.721479264
C3orf58	226464_at	7.96053925	6.208517707	7.782507425	6.939509303	5.03730349	6.060127586	7.089074608	7.094022831	5.99797994	6.487112382
C3orf62	1569374_at	2.379531523	2.646465494	2.300463652	2.259256177	2.240232766	2.982613464	2.386549847	2.019463959	1.901142474	2.268043683
C3orf62 /// MIR4271	241817_at	5.346916191	4.848876179	4.866877082	4.853865682	4.128544764	4.827485458	5.330989391	4.979530363	4.871866586	4.64694192
C3orf62 /// MIR4271 /// USP4	202681_at	8.889475455	7.936891605	8.059305353	7.44955282	7.988330347	7.492223411	8.686670839	7.970469314	8.276214428	7.729766342
C3orf65	1563208_s_at	3.176608371	3.343382762	2.650624969	2.433500089	2.961762579	3.218387719	3.030323229	2.96319129	2.647395496	2.646465494
C3orf67	239697_x_at	4.304971096	3.396871097	5.262518303	4.725258768	4.359446734	4.226666152	5.090893356	4.102904343	4.255284647	3.39516179
C3orf70	242447_at	3.469830359	7.473547051	4.624080053	7.16541216	2.115434155	6.301603358	1.629013718	6.692333875	2.058573821	6.067464763
C3orf79	1555839_a_at	2.157039215	2.169385946	1.778377177	1.475320344	1.85952538	1.672529848	1.676801678	2.144147388	1.905376479	1.779779737
C3orf80	236738_at	3.304195199	5.642988833	5.189925399	6.513364772	2.570922953	6.661894589	4.27614023	6.804670829	1.750476559	7.983174073
C3P1	231691_at	4.076908961	4.425843211	3.809879894	4.205307281	3.500472425	4.174359538	3.929405288	4.040509883	3.949052225	3.842802685
C4A /// C4B /// C4B_2	214428_x_at	9.622434007	8.220117599	6.768621819	6.095409501	6.134236644	6.663642132	6.821896892	6.471742044	7.806181756	9.010811925
C4BPA	205654_at	3.914332849	4.136105459	4.036430077	3.803865082	3.725427635	4.286639672	3.770133732	3.657337752	4.315486668	3.493575247
C4BPB	208209_s_at	2.77166563	3.752589417	3.201300629	2.875201672	2.865564813	2.772605514	3.215416831	3.038960017	3.388762846	2.909261585
C4orf17	223990_at	1.754628496	2.099773305	1.708330068	1.99164694	1.708330068	1.743404201	2.022260466	1.985614182	2.093210561	1.830312754
C4orf19	235350_at	3.040883867	2.259256177	5.35668778	3.018913973	5.435466345	3.887086235	5.792764319	4.73397859	2.013123794	2.718594048
C4orf22	231565_at	1.55603614	1.884953298	1.496711514	1.797967192	1.73982907	1.279499533	1.509114852	1.627442606	1.573558122	1.267727916
C4orf26	236984_at	1.549012556	2.738926134	2.428698737	2.064241391	1.839030801	2.221758746	2.707794724	1.889172032	1.599486732	1.675268296
C4orf27	218646_at	8.093190222	8.539687064	8.776169465	9.573553659	8.439004333	8.57217344	8.986127715	9.499750281	7.384204473	8.475266386
C4orf29	241968_at	6.724916567	6.440662319	7.347949711	7.001591835	6.276957024	6.472498772	6.582515569	6.990956523	6.034567676	6.378544171
C4orf3	224602_at	10.25499104	10.40205279	9.351633797	10.18481588	9.304286016	9.628873647	8.443667043	9.839261277	9.885165594	10.61586661
C4orf32	227856_at	2.808215459	5.040112498	4.477859473	5.830217876	2.95583661	4.986279268	5.076431787	5.765654622	2.006886617	5.311869134
C4orf33	1552370_at	5.604427888	3.244273032	6.271106557	4.98422706	3.768934499	2.410975706	4.840289546	5.618962305	3.074488833	3.942554674
C4orf36	1552919_at	2.455630357	3.210975397	4.426120542	3.565135268	2.768744164	4.553129395	5.527542017	3.593694476	3.652061834	3.259896754
C4orf45	1553838_at	1.70991179	2.259256177	2.076047555	1.724437391	1.731143604	2.031345948	1.61803288	1.724437391	1.593871962	1.794219051
C4orf46	235088_at	7.307738615	6.825822846	6.724714502	6.962465791	5.660806416	5.926906255	6.329064838	6.792408632	5.373370606	5.522056469
C4orf46 /// TOMM7	201812_s_at	12.11655581	12.02577128	12.2211505	12.04955999	12.37415714	12.26108572	12.26279509	12.0524632	12.44528701	12.6721053
C4orf47	237585_at	4.491756382	5.610624043	4.99515176	4.702782288	5.419168508	5.894381387	4.825084968	4.219726269	4.261414734	3.996688526
C4orf48	229860_x_at	9.34497948	8.321124522	5.069120408	6.678958465	5.349178703	6.640809071	6.88937647	6.772982499	7.673930226	7.550502478
C4orf6	207241_at	2.375540728	2.846553284	2.550960421	2.517340668	3.163836757	3.342860928	4.19436765	2.558927884	2.662166444	2.587895685
C5	205500_at	1.636806727	3.256535153	2.112559902	2.798110589	2.709352849	2.860716069	3.188218521	3.324303174	2.239106346	3.806873733
C5AR1	220088_at	4.420157311	6.902700978	5.203672009	6.30658428	5.160358039	8.154894003	4.617858487	6.409034995	4.211732923	7.457041976
C5AR2	221149_at	2.882753698	3.235248371	2.623423486	2.971523587	2.574151406	3.765781862	3.093131614	3.093131614	3.572537571	3.933350761
C5orf15	203024_s_at	10.22896344	9.944551547	10.03514553	10.34218813	9.686145261	10.29766376	9.473004772	10.08860348	9.993556643	10.22907403
C5orf17	1552954_at	2.467530773	2.8508232	2.38782073	2.3179393	3.795704543	2.924075012	2.219608326	3.425369853	2.603110204	2.3179393
C5orf20 /// TIFAB	239529_at	2.528969632	3.389087779	2.740497262	1.730113954	2.833397283	3.484385008	2.713206386	4.180185248	2.71476423	3.271601644
C5orf22	1565939_at	7.312215162	5.624824269	7.326209185	6.785800394	7.895116897	6.232501208	7.227660399	6.846584977	8.22841787	7.215925772
C5orf24	224876_at	9.333076349	8.789170478	9.480496324	9.621767774	9.170351324	9.897885126	9.225007744	9.031760602	8.41192575	8.542459359
C5orf27	239380_at	2.037106033	2.335173009	1.975783872	2.243241997	2.022685346	2.712737927	2.29735895	1.928255611	2.637653473	3.212246933
C5orf28	219029_at	6.197032604	4.10872706	6.644169918	6.468611628	7.930635059	7.060514982	6.881649828	6.244125499	6.282982315	4.551271243
C5orf30	221823_at	7.446429892	6.156141919	7.79586687	6.898791126	6.827338126	6.359800837	7.78136888	6.48947908	8.10991085	6.049892601
C5orf34	229886_at	5.223362857	2.283264814	5.331411891	4.201754249	5.990353501	4.680367266	5.112538059	4.570174357	4.237464301	2.77166563
C5orf42	1562387_at	5.823909246	4.662676985	6.746058179	6.489905442	7.247546666	6.294922585	7.134979424	5.842592169	6.377507127	5.198881011
C5orf45	220341_s_at	5.865480535	5.218159323	4.508585239	4.642502807	4.812785892	4.448091911	4.73864649	4.929957593	4.953204588	6.132799343
C5orf46	1554195_a_at	5.819367366	8.205623391	4.118782343	6.536861437	3.432440618	7.315755142	4.348056507	6.651798296	4.740447844	4.740447844
C5orf47	1557056_at	1.734751438	1.802851073	1.583436078	1.65997017	1.249837064	1.730111588	1.417479814	1.784861171	1.94858228	1.425532353
C5orf49	239722_at	2.045081611	1.799604467	2.450816121	2.287546394	2.613361628	2.470102901	2.259277269	2.199950572	2.244795589	1.776657082
C5orf51	226159_at	8.772705482	8.646174133	8.303785206	8.789051111	8.748702812	8.870031821	8.631779742	8.584030545	8.910322596	8.852627696
C5orf55	235219_at	3.327759028	2.708203691	4.643266	4.015164414	3.760057794	4.237155737	4.05713119	3.885948373	5.219632356	4.702560448
C5orf56	230405_at	6.348262395	5.805286282	5.175073293	5.876824437	5.957291001	6.564254892	6.104714123	7.084948358	5.20727901	6.601318984
C5orf58	1554115_at	3.580555731	4.480914572	3.689636951	2.986424033	3.257740351	3.724027494	3.461320766	4.759879645	3.577240859	5.068375143
C5orf63	244761_at	5.762082172	6.302054347	6.325812681	3.929372325	5.68829712	4.989217369	5.44229295	3.992716243	5.633940124	5.754825371
C5orf64	1553426_at	1.980115613	1.870584923	1.783638425	2.029016769	1.900239411	2.429208525	1.711424118	1.883089639	1.859986889	1.904263659
C5orf66	220375_s_at	3.845792284	4.847899359	4.382767111	4.572398253	5.11367759	4.239490864	3.860783941	4.608291618	4.677583817	4.993314315
C5orf66-AS1	236444_x_at	2.927376183	3.56519883	3.220632509	3.061544139	3.093149744	2.922998375	2.979749974	3.068110082	2.701927666	3.074677562
C6	210168_at	2.409008192	2.392344394	2.22442638	2.115569846	2.194882702	3.62731282	2.7518492	2.533473339	2.289602485	4.192001029
C6orf1	226306_at	5.946076328	5.516447854	5.437184133	5.536065042	5.338552246	4.95617753	5.160128117	5.215964805	5.618582773	6.112865723
C6orf10	207523_at	0.954740035	1.22870931	1.348226886	1.138229477	1.356928261	1.488443065	1.242731784	1.776198961	1.342905787	1.533735458
C6orf106	205457_at	9.700126659	8.897668886	9.857954538	9.392827136	10.21298875	9.03622157	10.36062288	10.17170199	10.19734354	9.672712286
C6orf118	232777_s_at	3.220800288	4.000402413	3.241283616	3.488031674	3.432440618	3.776823948	3.74413908	3.569884296	3.649178154	3.569049406
C6orf120	221786_at	6.019421799	7.24505986	6.751835708	7.660413113	6.081156471	7.49551455	6.419727954	7.379510799	6.312090866	6.901303682
C6orf123	207698_at	4.010351856	2.750913707	6.855789626	4.623057587	7.204051305	5.359461423	5.634704622	3.989428157	7.400497224	5.208660927
C6orf132	241455_at	7.170153625	5.769560791	8.025978088	6.368978225	8.191708348	5.000918345	7.881438749	5.399623593	7.230459783	6.014196581
C6orf136	227456_s_at	7.223752255	5.668648382	5.650994918	4.963849826	6.230428203	5.493663138	7.04948558	5.420592442	7.454397006	6.013877312
C6orf141	1552575_a_at	2.415310926	2.182170802	2.153964354	1.732647841	2.176154391	2.159684411	4.936955225	3.827721315	2.198125498	1.673800849
C6orf147 /// KHDC1	241024_at	2.259256177	3.74413908	4.876751745	4.095424644	3.18038721	3.899488773	4.587219845	4.24796038	2.617427855	1.724270645
C6orf15	221100_at	2.358559548	3.338717091	2.227144346	2.555951569	2.882781461	3.032767926	2.624091368	2.755034977	3.677306942	2.904219714
C6orf163	233787_at	3.981520623	4.302519264	4.708887332	3.92441747	4.79702752	3.965287218	4.194687245	4.227392873	5.177644481	4.835532399
C6orf164	230506_at	3.030429733	3.413645501	3.237890414	2.986424033	3.304195199	3.001935612	3.030323229	2.610636943	4.422302272	3.489151085
C6orf165	230273_at	4.539502148	4.615775524	6.339045627	4.099319169	4.41053648	4.949913624	4.763642963	4.647405555	5.229765778	4.14046541
C6orf195	1553363_at	2.392785516	3.152927184	1.966051122	2.643263383	2.485398623	2.679686963	1.419274703	1.691294888	3.682515008	1.921918929
