Gene.Symbol,GSM775184,GSM775185,GSM775190,GSM775191,GSM775224,GSM775225,GSM775249,GSM775250,GSM775258,GSM775259,GSM775264,GSM775265,GSM775270,GSM775271,GSM775275,GSM775279,GSM775286,GSM775287
HSD3B1,6.389487654,6.414829815,7.72796877,6.477364375,8.301155029,6.370981146,6.217541134,6.313597411,6.432042069,6.501925216,6.417904316,6.498667338,6.341324182,6.311031307,6.64784693,8.074567517,6.624251094,6.624251094
HSD3B2,6.650053661,6.689401208,6.127727159,5.983737426,6.105463954,6.336765753,6.397376352,6.327625754,6.413504216,6.199375335,6.424561705,6.331532356,6.400174819,6.290977068,6.426773467,6.418777231,6.570689852,6.19426261
HSD3B7,7.140241839,6.783210422,6.487981966,6.456704645,6.33233325,6.270168224,6.611952694,6.491538074,6.762942729,6.5334833,6.429240011,7.062701342,6.554925544,6.644738849,6.988343852,6.4314844,6.261340687,6.54348382
HSDL1,7.59630308,7.394473842,7.743187756,8.518190868,7.067283764,6.477654502,7.126062214,7.254370116,7.453225356,7.189658541,6.650969864,7.505682956,8.835245441,7.090678798,8.724721886,7.145190362,7.923730373,7.50068655
HSDL2,9.388454549,9.244095728,9.80550077,9.361795769,9.309940806,8.682014201,9.326355553,9.237475526,9.580894306,8.733967085,9.402841959,9.208626016,9.880207364,8.325777206,7.303516839,8.223493988,9.009059348,8.566384031
HSF1,6.025941489,6.015905848,6.138539064,6.129903036,6.278835055,5.975758338,6.149535373,6.165718227,5.991903869,6.066900317,6.206911595,6.030275818,6.140729584,6.05294533,6.034595843,6.139961592,6.211261644,6.181908771
HSF2,8.938855041,8.164669642,9.130196263,9.280507953,8.138103839,8.871609586,8.175468214,8.981155106,8.410941,8.412817931,8.941836103,8.67631149,9.063349238,9.101772708,8.382271253,8.564542795,8.211563712,8.317151639
HSF2BP,6.214039881,6.642268929,6.145389091,6.718236943,6.234087782,6.184512988,6.529419309,6.294305711,7.074598556,6.0852891,6.878820962,6.582466133,7.031592592,6.40981282,6.47873662,7.15090792,7.021072135,6.637096066
HSF4,6.216687858,6.257518717,6.16281486,6.000139754,6.024534667,6.352744403,6.6187527,6.409665531,6.770017632,6.477277909,6.168626793,6.370847794,6.824954923,6.555434422,6.202449851,6.526465749,6.375306913,6.35365587
HSFX1,6.099386317,6.15361749,6.023598905,6.085615221,6.093301352,6.03596497,6.153207264,6.128348672,6.10905711,5.965298534,6.0959337,6.116690998,6.094281048,6.222336451,6.19071737,6.226186161,6.154605688,6.191957182
HSFY1,5.961668701,6.030550833,6.060022733,6.005161914,6.154681224,6.085025812,6.103893089,6.035398031,6.085193693,6.137211061,6.246652823,6.054619511,6.061600817,5.915833977,6.000550599,6.109869717,6.094003978,5.99160166
HSFY2,6.442847976,6.198141884,6.558660556,6.365998839,6.429871844,6.54637762,6.395581775,6.334882329,6.392759781,6.4213918,6.4653029,6.259747971,6.392073518,6.284342189,6.139543576,6.33272458,6.37631296,6.283034257
HSH2D,7.200485717,8.142189786,6.301586183,7.067836592,7.499660955,7.363816745,7.894407931,8.284772289,7.579783559,7.905716726,6.024026624,7.234509943,6.650969864,8.329781541,6.380454658,6.18416443,6.998235001,6.664181299
HSMPP8,8.305647282,8.709617701,8.841811511,7.161924958,8.733967085,8.563667241,8.331487123,8.338103017,8.708231043,7.881680524,9.564661299,8.556171111,8.214524095,8.766154853,8.547381962,8.433356344,8.477363242,8.454666142
HSN2,6.102853151,6.156713122,6.008628961,6.089403869,6.206326936,6.14341342,6.195866072,6.321890584,5.959910153,6.121138315,6.254284883,6.006889076,6.212724572,6.102111349,6.170048627,6.178053088,6.034949688,6.131720142
HSP90AA1,11.04272299,10.07413209,10.51162419,9.533297023,9.754487199,9.516661905,10.31150198,10.50598717,9.533297023,8.520019086,10.11891902,9.97808692,11.22908556,9.996172631,9.694694622,10.44731573,11.11766453,11.07954812
HSP90AB1,11.45923026,10.87603878,10.73548071,10.3801201,9.055773465,9.717417503,10.2604609,10.93917955,10.16124024,9.931759574,9.695294247,10.96240081,10.24656841,10.34991479,10.5474103,8.980736244,11.83916678,10.63705863
HSP90AB2P,6.122584929,6.170822399,6.253726676,6.248916749,6.299592686,6.167394661,6.097635656,6.113442763,6.152584608,6.214395091,6.136510304,6.226898051,6.088640491,6.189615254,6.345359115,6.168424018,6.160051511,6.130698225
HSP90AB6P,6.182567367,6.047937047,6.342718113,6.269518515,6.288372221,6.173785853,6.097978376,6.201639742,6.090434489,6.199045863,6.28373124,6.271629979,6.209195217,6.2304655,6.349741048,6.169437007,6.156478935,6.091764987
HSP90B1,12.16181338,12.0296344,12.05591619,11.2024165,11.15841151,10.78498893,11.73567744,12.66891977,11.78607437,10.90364916,11.4625447,11.67105802,12.04387077,12.36241455,11.49679088,11.6670938,12.2767444,12.24697598
HSPA12B,7.020552205,9.835043116,6.321772456,8.674361426,6.466778168,8.019242661,6.84240189,9.097599736,7.318735307,8.475011903,7.112811666,9.777218158,7.166192212,9.088300104,10.46369091,9.925890856,6.481947447,8.336231607
HSPA14,10.80002787,10.3968873,10.12564723,9.489315329,10.49954297,10.49128292,9.484508951,9.770020606,9.793461878,8.397245076,10.71710574,9.787009901,9.15723197,8.313404137,9.417162007,10.02015074,9.589894353,9.541364409
HSPA1A,10.03061059,9.872956775,11.2713463,11.02766207,9.534535952,9.615114073,10.48033784,10.40362456,8.789461264,9.866035849,8.134223507,9.153036673,10.82505417,12.256536,9.611987871,13.42284269,8.544650753,8.643241471
HSPA1B,9.199538619,8.898577506,11.40874264,7.986967767,9.220659342,9.700677084,11.25986564,12.10473502,10.95066379,8.485267011,9.124795963,10.01875378,10.23155601,11.18252347,10.6083916,12.00347013,10.09489582,10.19227802
HSPA1L,7.883548729,6.37009783,8.227424855,9.004979683,8.196395573,8.031409533,7.674160483,7.729145545,7.720697093,8.513386124,8.705991375,7.758586342,7.561017522,7.701159499,8.575577063,7.619391734,8.163434325,7.862558635
